typeofurl,urladdress
Works,http://www.hamstech.com/photography.php
Works,https://www.shiksha.com/arts-fine-visual-performing/photography/articles/top-10-colleges-for-photography-courses-in-india-blogId-11445
Works,https://www.academiccourses.com/Courses/Photography/
Works,https://www.academiccourses.com/Courses/Photography/Germany/
Works,https://www.academiccourses.com/Courses/Photography/France/
Works,https://www.academiccourses.com/Courses/Photography/Italy/
Works,https://www.academiccourses.com/Courses/Photography/Canada/
Works,http://idi.co.in/photography-courses/
Works,https://www.urbanpro.com/hyderabad/photography-classes
Works,https://www.nyip.edu/courses/professional-photography
Works,https://www.justdial.com/Hyderabad/Photography-Institutes-in-Gachibowli/nct-10365614
Works,http://siaphotography.in/
Works,https://www.coursera.org/courses?languages=en&query=photography
Works,http://www.htcampus.com/media-journalism/photography-course/
Works,https://www.udemy.com/topic/videography/
Works,https://www.shortcoursesportal.com/disciplines/69/film-photography-media.html
Works,https://www.skillshare.com/browse/videography
Works,https://career.webindia123.com/career/institutes/list_colleges_Institutes.asp?group=58&cat=Film_And_Television_Institutes&course=98
Works,https://www.creativelive.com/catalog/photography/film-and-video
Works,https://www.sulekha.com/videography-job-training/hyderabad
Works,https://www.shiksha.com/animation/sound-video-editing/course/diploma-in-videography-and-photography-center-for-research-in-art-of-film-and-television-craft-rohini-rohini-delhi-10296
Works,https://www.lynda.com/Shooting-Video-training-tutorials/1365-0.html
Works,http://www.uvdivekohtao.com/fluo-diving/fluorescence-videography-course
Works,http://www.mmedia.co.in/videography-photography-lighting-techniques-courses/
Works,https://alison.com/learn/plumbing
Works,https://alison.com/courses/plumbing
Works,https://www.ableskills.co.uk/plumbing-courses/
Works,https://study.com/plumbing_technology_classes.html
Works,https://study.com/plumbing_classes.html
Works,https://www.academiccourses.com/Courses/Plumbing/
Works,http://www.barkingdagenhamcollege.ac.uk/en/courses-for-over-19s/subjects.cfm/page/Plumbing
Works,https://tradeteacher.co.uk/courses/10-day-accredited-plumbing-and-heating-course/
Works,https://www.accesstraininguk.co.uk/plumbing-courses
Works,https://www.tafesa.edu.au/courses/building-construction/plumbing-water-operations
Works,https://alison.com/tag/carpentry
Works,https://www.academiccourses.com/Courses/Carpentry/
Works,https://www.ableskills.co.uk/carpentry-courses/
Works,http://www.nios.ac.in/departmentsunits/vocational-education/stand-alone-courses/carpentry.aspx
Works,https://study.com/woodworking_classes.html
Works,https://study.com/carpenter_classes.html
Works,https://www.melbournepolytechnic.edu.au/study-areas/building-construction-trades/carpentry/
Works,https://www.tafesa.edu.au/courses/building-construction/carpentry-furniture-making
Works,http://www.barkingdagenhamcollege.ac.uk/en/courses-for-over-19s/subjects.cfm/page/CarpentryJoinery
Works,https://www.acs.edu.au/courses/carpentry-617.aspx
Works,http://www.enrichsalon.com/enrich-academy
Works,https://www.academiccourses.com/Courses/Salon-Management/
Works,https://www.lakme-academy.com/courses
Works,https://www.lakme-academy.com/advanced-course-cosmetology
Works,https://www.hotcoursesabroad.com/india/training-degrees/international/beauty-therapy-courses/cgory/n12-3/sin/ct/programs.html
Works,https://www.hotcoursesabroad.com/india/training-degrees/international/salon-spa-management-courses/cgory/hl.19-4/sin/ct/programs.html
Works,https://my.msme.gov.in/MyMsmeMob/MsmeProjectProfile/Pages/27.html
Works,https://www.oranebeautyinstitute.com/certificate-in-salon-management/
Works,https://www.beautycoursesonline.com/
Works,https://dir.indiamart.com/nashik/beautician-training-services.html
